model,map_type,normalised,use_other,content_normalised,reference,checkpoint,depth_bin,mean,se_across,n_datasets,mean_pooled,se_pooled,n_obs
GeneralSheaf,,False,True,True,topological,epoch-5,last,0.44845603169947007,0.06277215216684254,10,0.4484560316994701,0.019592808658083393,100
GeneralSheaf,,False,True,True,topological,epoch-5,middle,0.49905957580382165,0.06766210286167595,8,0.5293555673654041,0.013413969743166394,190
GeneralSheaf,,False,True,True,topological,epoch-50,first,0.3521762261261082,0.06005378128347604,10,0.35217622612610827,0.018691476509879,100
GeneralSheaf,,False,True,True,topological,epoch-50,last,0.3514451580689775,0.07295910028378683,10,0.3514451580689775,0.022980165248729124,100
GeneralSheaf,,False,True,True,topological,epoch-50,middle,0.3479438173645947,0.09825758050242173,8,0.3455105406247738,0.02001496326592038,190
GeneralSheaf,,False,True,True,topological,last,first,0.2901115398030599,0.05936439315053699,10,0.2901115398030599,0.018801204743592485,100
GeneralSheaf,,False,True,True,topological,last,last,0.20872439274364055,0.03153486281263515,10,0.20872439274364055,0.01416438493187691,100
GeneralSheaf,,False,True,True,topological,last,middle,0.2054369107333806,0.0694147669046827,8,0.24136693049878263,0.017382065952446644,190
GeneralSheaf,,False,True,True,zero,epoch-0,first,0.03753708185197547,0.027378483444441683,10,0.03753708185197547,0.008349359803716273,100
GeneralSheaf,,False,True,True,zero,epoch-0,last,0.10817117583143736,0.06264085298432298,10,0.10817117583143736,0.019051279058427757,100
GeneralSheaf,,False,True,True,zero,epoch-0,middle,0.10810555743182271,0.07806272876873535,8,0.1128529764482565,0.014164307901537138,190
GeneralSheaf,,False,True,True,zero,epoch-1,first,0.042972915771154085,0.02941632212196761,10,0.04297291577115409,0.008978369175588082,100
GeneralSheaf,,False,True,True,zero,epoch-1,last,0.13811367741440841,0.07158572342823831,10,0.1381136774144084,0.02162377854821232,100
GeneralSheaf,,False,True,True,zero,epoch-1,middle,0.12333753084263466,0.07689322178455442,8,0.1284635085009606,0.014066956142830234,190
GeneralSheaf,,False,True,True,zero,epoch-15,first,0.07426772270138955,0.035861306321494334,10,0.07426772270138955,0.010986493114459558,100
GeneralSheaf,,False,True,True,zero,epoch-15,last,0.190467167861407,0.07372039083153845,10,0.19046716786140702,0.022340377928205507,100
GeneralSheaf,,False,True,True,zero,epoch-15,middle,0.19683732385560754,0.07708306250654065,8,0.2029291052024418,0.01410237172703608,190
GeneralSheaf,,False,True,True,zero,epoch-200,first,0.1813154420091476,0.04125025127512453,10,0.1813154420091476,0.013388266962483217,100
GeneralSheaf,,False,True,True,zero,epoch-200,last,0.2887452122114262,0.059574008726860535,10,0.2887452122114262,0.018820377053925592,100
GeneralSheaf,,False,True,True,zero,epoch-200,middle,0.35572700173432786,0.05700522484419992,8,0.33208803595565717,0.012035217990345496,190
GeneralSheaf,,False,True,True,zero,epoch-5,first,0.0564237117625684,0.03385028626632252,10,0.05642371176256839,0.010315904113107883,100
GeneralSheaf,,False,True,True,zero,epoch-5,last,0.15549135458697272,0.07368364384143924,10,0.15549135458697275,0.022328205152890093,100
GeneralSheaf,,False,True,True,zero,epoch-5,middle,0.1464793505096119,0.07508699069400132,8,0.14999732768196347,0.01395283627550733,190
GeneralSheaf,,False,True,True,zero,epoch-50,first,0.12507372425647176,0.04190914606782651,10,0.12507372425647179,0.01299099020852815,100
GeneralSheaf,,False,True,True,zero,epoch-50,last,0.22321261967175393,0.061185302248015404,10,0.22321261967175393,0.01901391690399473,100
GeneralSheaf,,False,True,True,zero,epoch-50,middle,0.2554593004616834,0.08051905963813122,8,0.2604570051783571,0.014291777993873635,190
GeneralSheaf,,False,True,True,zero,last,first,0.18395951604014288,0.04221460364072707,10,0.18395951604014285,0.01381799772414706,100
GeneralSheaf,,False,True,True,zero,last,last,0.2893486596257566,0.059979357814927754,10,0.2893486596257566,0.01920776231306964,100
GeneralSheaf,,False,True,True,zero,last,middle,0.35581780155308285,0.05662249066317463,8,0.33249482885620546,0.011936990319397772,190
GeneralSheaf,,True,False,True,topological,epoch-0,first,0.4083631817697584,0.04680958776626136,10,0.4049525146150046,0.013141406613593278,110
GeneralSheaf,,True,False,True,topological,epoch-0,last,0.4079084905808113,0.04749255993253627,10,0.4031203335514219,0.013299261605501765,110
GeneralSheaf,,True,False,True,topological,epoch-0,middle,0.42235687135794275,0.05723573676359798,8,0.44976697376922764,0.011803390145145847,200
GeneralSheaf,,True,False,True,topological,epoch-1,first,0.41186612386056715,0.046005307513658875,10,0.40825781737645767,0.012890350864560675,110
GeneralSheaf,,True,False,True,topological,epoch-1,last,0.417184444702371,0.04572483279473304,10,0.4119887600954641,0.013007300041743674,110
GeneralSheaf,,True,False,True,topological,epoch-1,middle,0.42731603307694066,0.05845672791439298,8,0.45556395435505925,0.011959996930733388,200
GeneralSheaf,,True,False,True,topological,epoch-15,first,0.3531083557593108,0.06081417188060131,10,0.362190530337822,0.017159848758678365,110
GeneralSheaf,,True,False,True,topological,epoch-15,last,0.3496962939862528,0.06021987485434866,10,0.36248237144619955,0.017737260541044964,110
GeneralSheaf,,True,False,True,topological,epoch-15,middle,0.35164158364983084,0.0750486439941302,8,0.3727318325915549,0.015268638083057486,200
GeneralSheaf,,True,False,True,topological,epoch-200,first,0.3342576628380664,0.05842141674300148,10,0.3432518709137888,0.016510576089772605,110
GeneralSheaf,,True,False,True,topological,epoch-200,last,0.2590982098731375,0.05452451971613457,10,0.26403326570536434,0.016031710418424664,110
GeneralSheaf,,True,False,True,topological,epoch-200,middle,0.35004030230758154,0.0700955057989906,8,0.3717634650391963,0.014969514881955148,200
GeneralSheaf,,True,False,True,topological,epoch-5,first,0.40242936889092695,0.05870550155617035,10,0.410545245037662,0.016997908233548294,110
GeneralSheaf,,True,False,True,topological,epoch-5,last,0.3918403034290694,0.05981716401921723,10,0.4000969951056482,0.017050559088298018,110
GeneralSheaf,,True,False,True,topological,epoch-5,middle,0.3977318175952632,0.07355975061702812,8,0.4200460950526456,0.014982651018543895,200
GeneralSheaf,,True,False,True,topological,epoch-50,first,0.30990442823231523,0.057676815788106156,10,0.3171295421500665,0.016291917797976504,110
GeneralSheaf,,True,False,True,topological,epoch-50,last,0.2575626425550486,0.05526538350028556,10,0.26520307880454247,0.01602577023286867,110
GeneralSheaf,,True,False,True,topological,epoch-50,middle,0.3192840824415374,0.06908700404350242,8,0.34564605209373217,0.014731892975609267,200
GeneralSheaf,,True,False,True,topological,last,first,0.3385686956553097,0.05872712884382182,10,0.34711985422588315,0.016630484314665326,110
GeneralSheaf,,True,False,True,topological,last,last,0.252857238088344,0.05599463040750385,10,0.2590809597951571,0.01629443067308148,110
GeneralSheaf,,True,False,True,topological,last,middle,0.35455993509791145,0.07079283786103402,8,0.37568126609061486,0.015260741835214166,200
GeneralSheaf,,True,False,True,zero,epoch-0,first,0.037556982342277,0.027375996228174177,10,0.03415710317446776,0.0076557202947575825,110
GeneralSheaf,,True,False,True,zero,epoch-0,last,0.06706556239338701,0.05118081876058734,10,0.06098311551708652,0.014161971368286504,110
GeneralSheaf,,True,False,True,zero,epoch-0,middle,0.06491228976990315,0.04889363144231289,8,0.06323500920829142,0.008479462459266285,200
GeneralSheaf,,True,False,True,zero,epoch-1,first,0.04202603583062442,0.029083878174099114,10,0.038218340961147006,0.008080437016109429,110
GeneralSheaf,,True,False,True,zero,epoch-1,last,0.07171594654792021,0.051025685923626586,10,0.06520918619909691,0.014155789844353174,110
GeneralSheaf,,True,False,True,zero,epoch-1,middle,0.07152588846235164,0.05087447137633637,8,0.07042584309897841,0.008815930274421829,200
GeneralSheaf,,True,False,True,zero,epoch-15,first,0.15931925589486948,0.05184294581632321,10,0.14718666769380115,0.014844781803504015,110
GeneralSheaf,,True,False,True,zero,epoch-15,last,0.19823446969469063,0.05659103869038554,10,0.18237336105558832,0.016474982665220426,110
GeneralSheaf,,True,False,True,zero,epoch-15,middle,0.19824213596362583,0.06582803055165774,8,0.18958569946838522,0.011327321005937451,200
GeneralSheaf,,True,False,True,zero,epoch-200,first,0.125205949882461,0.036434267753652674,10,0.11581316327558272,0.010479230030004437,110
GeneralSheaf,,True,False,True,zero,epoch-200,last,0.277738496057051,0.033447908384658005,10,0.2690902089747735,0.01029355851742372,110
GeneralSheaf,,True,False,True,zero,epoch-200,middle,0.20357408519774683,0.04661135413610272,8,0.20042584846689648,0.008337283803422253,200
GeneralSheaf,,True,False,True,zero,epoch-5,first,0.10208054919797371,0.04368047468940389,10,0.09289093424046838,0.012391033433173089,110
GeneralSheaf,,True,False,True,zero,epoch-5,last,0.13852754692963182,0.058895077524586746,10,0.1260327213688413,0.01666279278037921,110
GeneralSheaf,,True,False,True,zero,epoch-5,middle,0.14598743260782657,0.06123785561483735,8,0.1397753472718456,0.010452786146490674,200
GeneralSheaf,,True,False,True,zero,epoch-50,first,0.16354290598994053,0.0445431813173105,10,0.15382479514436054,0.012674248403002575,110
GeneralSheaf,,True,False,True,zero,epoch-50,last,0.2801770572669696,0.042381972108890595,10,0.26956228213064376,0.012431715336956148,110
GeneralSheaf,,True,False,True,zero,epoch-50,middle,0.22870729718874144,0.055304410268953386,8,0.2190855442981332,0.009759261959717437,200
GeneralSheaf,,True,False,True,zero,last,first,0.12169922892663257,0.03412670285413459,10,0.11238539832827259,0.009951629716477515,110
GeneralSheaf,,True,False,True,zero,last,last,0.28035409349550944,0.03548009181429807,10,0.2709658345628367,0.010708824870180522,110
GeneralSheaf,,True,False,True,zero,last,middle,0.20470367083682103,0.04686514454190859,8,0.2029969929509788,0.008385128246682848,200
GeneralSheaf,,True,True,False,topological,epoch-0,first,0.43669523564036083,0.04113734181357664,10,0.43669523564036083,0.012616941309193726,100
GeneralSheaf,,True,True,False,topological,epoch-0,last,0.4460501485316358,0.042101108752920044,10,0.4460501485316358,0.012937484715289231,100
GeneralSheaf,,True,True,False,topological,epoch-0,middle,0.4684951362588179,0.04934912434999544,8,0.4934677353297966,0.010532095701625332,190
GeneralSheaf,,True,True,False,topological,epoch-1,first,0.4425869438248376,0.03937183454786841,10,0.44258694382483754,0.012120044338906738,100
GeneralSheaf,,True,True,False,topological,epoch-1,last,0.4554017405766374,0.039211944310551805,10,0.4554017405766374,0.012158032079515399,100
