combo,budget,strategy,label,n_datasets,n_folds_total,drop_mean,drop_se,total_se
masking (zero),0.05,low,Low conviction,8,80,0.019719778501907204,0.03279256651181386,0.024096507255233737
masking (zero),0.05,deg_high,High degree,8,80,0.7529414584167664,0.281961659186904,0.10849414833119499
masking (zero),0.05,deg_low,Low degree,8,80,0.18988220623196783,0.09825194392665657,0.037162033893668935
masking (zero),0.05,deg_matched_high,Degree-matched (high),8,80,0.1869267222730513,0.1530589016189172,0.06288877078841586
masking (zero),0.05,deg_matched_low,Degree-matched (low),8,80,0.2581758763235249,0.11598846234830522,0.04506340253519173
masking (zero),0.05,conf_high,High confidence,8,80,0.5541355747472703,0.1604916686753586,0.07316627753885149
masking (zero),0.05,conf_low,Low confidence,8,80,0.17475321524637907,0.11699506627366216,0.058035698559867094
masking (zero),0.05,random,Random,8,80,0.21176591230686312,0.14582868487234543,0.051661038867176975
masking (zero),0.1,high,High conviction,8,80,2.6455137897457632,0.9848010499390288,0.30865330907398203
masking (zero),0.1,low,Low conviction,8,80,0.023441014191831144,0.059955546113496676,0.03909159232707956
masking (zero),0.1,deg_high,High degree,8,80,1.0560679620824054,0.3957456244965484,0.1497982588013969
masking (zero),0.1,deg_low,Low degree,8,80,0.38369539745584674,0.2072373119185378,0.07100415957278357
masking (zero),0.1,deg_matched_high,Degree-matched (high),8,80,0.27049364680525323,0.2565216334627019,0.0943453726079413
masking (zero),0.1,deg_matched_low,Degree-matched (low),8,80,0.49161194088396304,0.3285781798754719,0.11333055113672177
masking (zero),0.1,conf_high,High confidence,8,80,0.9186892531170747,0.2759303528703068,0.10577299418343424
masking (zero),0.1,conf_low,Low confidence,8,80,0.3492807281484577,0.21056758054842753,0.09138032588337722
masking (zero),0.1,random,Random,8,80,0.43212637061754255,0.29082599371015366,0.10930171211644925
masking (zero),0.2,high,High conviction,8,80,4.103318122422696,1.6051592502133332,0.4950744104492975
masking (zero),0.2,low,Low conviction,8,80,0.12928438853501034,0.1777077926098455,0.08683504514652161
masking (zero),0.2,deg_high,High degree,8,80,1.7626087497363367,0.685115171465042,0.24821536742663247
masking (zero),0.2,deg_low,Low degree,8,80,0.8486099700968628,0.4431745308254284,0.14173908641095723
masking (zero),0.2,deg_matched_high,Degree-matched (high),8,80,0.5164079710245078,0.4871466059146586,0.1707413750675106
masking (zero),0.2,deg_matched_low,Degree-matched (low),8,80,1.1742365134656612,0.6609723875106878,0.2089016100922389
masking (zero),0.2,conf_high,High confidence,8,80,1.6635394758104574,0.53808019960834,0.181149662937145
masking (zero),0.2,conf_low,Low confidence,8,80,0.7963308740823136,0.4269034360713144,0.1501297974742582
masking (zero),0.2,random,Random,8,80,1.0373295908876723,0.5511010901810486,0.18358923611694936
masking (zero),0.3,high,High conviction,8,80,5.179394617024512,2.214921780810791,0.6750443346608247
masking (zero),0.3,low,Low conviction,8,80,0.33914444776976904,0.2869903621780535,0.12646477902646003
masking (zero),0.3,deg_high,High degree,8,80,2.4583948154587603,0.9789102329594513,0.3352138413764407
masking (zero),0.3,deg_low,Low degree,8,80,1.3515492359647014,0.7431373067611536,0.23139310080589193
masking (zero),0.3,deg_matched_high,Degree-matched (high),8,80,0.7723906811387009,0.5470264194497024,0.21302508513836477
masking (zero),0.3,deg_matched_low,Degree-matched (low),8,80,2.2158197221199134,1.2324332541744991,0.3774502820765385
masking (zero),0.3,conf_high,High confidence,8,80,2.4954247729103654,0.8910515129770877,0.2842264728136358
masking (zero),0.3,conf_low,Low confidence,8,80,1.3210358435885874,0.6874486884897282,0.22698137091451145
masking (zero),0.3,random,Random,8,80,1.6922067451107479,0.893056295615263,0.2916567395402607
