combo,budget,strategy,label,n_datasets,n_folds_total,drop_mean,drop_se,total_se
masking (zero),0.05,high,High conviction,8,80,1.6128556359464779,0.502875209782167,0.17026386916169056
masking (zero),0.05,low,Low conviction,8,80,0.034738365771079804,0.024661797627215605,0.026830219269990636
masking (zero),0.05,deg_high,High degree,8,80,0.7529664111842387,0.2819592521252494,0.1084964282638319
masking (zero),0.05,deg_low,Low degree,8,80,0.1898741354281271,0.09825379016442802,0.03716220754268914
masking (zero),0.05,deg_matched_high,Degree-matched (high),8,80,0.18069487181079508,0.17866233677125629,0.06777969081868623
masking (zero),0.05,deg_matched_low,Degree-matched (low),8,80,0.2172014162101154,0.12403747327698958,0.04663018876008107
masking (zero),0.05,conf_high,High confidence,8,80,0.554136955051016,0.16049585350232548,0.07316764818225818
masking (zero),0.05,conf_low,Low confidence,8,80,0.17477263040561009,0.11700369508101831,0.05803860864389934
masking (zero),0.05,random,Random,8,80,0.2117665473750183,0.14582446903071616,0.05165861122000831
masking (zero),0.1,high,High conviction,8,80,2.596180218583881,0.9165670644613685,0.28959022104860316
masking (zero),0.1,low,Low conviction,8,80,0.059882485321690215,0.055966663921463725,0.03744710466973835
masking (zero),0.1,deg_high,High degree,8,80,1.0560710581087365,0.3957433711227947,0.14980124483173868
masking (zero),0.1,deg_low,Low degree,8,80,0.3836806438588469,0.2072321831879448,0.07100295430958951
masking (zero),0.1,deg_matched_high,Degree-matched (high),8,80,0.267865563714636,0.27300461610954535,0.10140768442233565
masking (zero),0.1,deg_matched_low,Degree-matched (low),8,80,0.5179810347135895,0.27891710442772877,0.09136637326029472
masking (zero),0.1,conf_high,High confidence,8,80,0.9187066115742291,0.275921943567694,0.10577109405151607
masking (zero),0.1,conf_low,Low confidence,8,80,0.3492802793313856,0.21056951898739784,0.09138272259439116
masking (zero),0.1,random,Random,8,80,0.4321620818717848,0.29082099880605033,0.10930195271177288
masking (zero),0.2,high,High conviction,8,80,3.92892547590853,1.4982403555038035,0.46480638762929016
masking (zero),0.2,low,Low conviction,8,80,0.16591750545033945,0.14798366012158637,0.0741234354690678
masking (zero),0.2,deg_high,High degree,8,80,1.7622918419447804,0.684913909184785,0.24815889692048282
masking (zero),0.2,deg_low,Low degree,8,80,0.8483126360745006,0.4429866130085479,0.14168701745903559
masking (zero),0.2,deg_matched_high,Degree-matched (high),8,80,0.5238354815076625,0.4438366313986887,0.16064765938034936
masking (zero),0.2,deg_matched_low,Degree-matched (low),8,80,1.1322453441744655,0.6562082139981391,0.20180258486477728
masking (zero),0.2,conf_high,High confidence,8,80,1.6635493115939293,0.5380790181821635,0.1811490972639416
masking (zero),0.2,conf_low,Low confidence,8,80,0.7963206037427857,0.426895968706405,0.1501273191636372
masking (zero),0.2,random,Random,8,80,1.0373274211991967,0.551094872657675,0.18358723858952358
masking (zero),0.3,high,High conviction,8,80,4.966869888918002,2.0852909913459445,0.6368577493884019
masking (zero),0.3,low,Low conviction,8,80,0.34614049197971974,0.322032205801765,0.1405266863490385
masking (zero),0.3,deg_high,High degree,8,80,2.458400161866216,0.9789106567844842,0.33521465883227314
masking (zero),0.3,deg_low,Low degree,8,80,1.3515504659940873,0.7431387085242502,0.2313932046102711
masking (zero),0.3,deg_matched_high,Degree-matched (high),8,80,0.8724115342185699,0.5452089938254658,0.19985470720573925
masking (zero),0.3,deg_matched_low,Degree-matched (low),8,80,2.2215429790622245,1.2180415226418857,0.3733161982327666
masking (zero),0.3,conf_high,High confidence,8,80,2.4954154526815353,0.8910488228731736,0.28422541597166007
masking (zero),0.3,conf_low,Low confidence,8,80,1.3210287961076568,0.6874396387548055,0.22697924005480752
masking (zero),0.3,random,Random,8,80,1.692220250408821,0.893054203843088,0.29165611333075353
