combo,budget,strategy,label,n_datasets,n_folds_total,drop_mean,drop_se,total_se
masking (mean),0.3,deg_matched_high,Degree-matched (high),8,80,1.211542390704009,0.7090201780789501,0.2500662454304986
masking (mean),0.3,deg_matched_low,Degree-matched (low),8,80,2.2254890027377865,1.121508244103065,0.3465322843281797
masking (mean),0.3,conf_high,High confidence,8,80,2.252372125114378,0.7831033970838132,0.2562710999392561
masking (mean),0.3,conf_low,Low confidence,8,80,1.9942629987987073,0.942128051328193,0.2979289647869975
masking (mean),0.3,random,Random,8,80,1.8879887551089543,0.9416333893810079,0.30284724274840075
masking (zero),0.01,high,High conviction,8,80,0.5087218561366512,0.17290996516664983,0.07653803124203923
masking (zero),0.01,low,Low conviction,8,80,0.02122959497814008,0.014856380468020992,0.013384836575382461
masking (zero),0.01,deg_high,High degree,8,80,0.3703303726740446,0.16147286707927536,0.07287868529545709
masking (zero),0.01,deg_low,Low degree,8,80,0.03283830562988865,0.020328337503621816,0.01149469884321258
masking (zero),0.01,deg_matched_high,Degree-matched (high),8,80,0.057832445815047186,0.06775735561470826,0.03440011540720549
masking (zero),0.01,deg_matched_low,Degree-matched (low),8,80,0.05145468624195801,0.030790524300872025,0.012168043000079976
masking (zero),0.01,conf_high,High confidence,8,80,0.15130896299370494,0.07068717960607976,0.03726385896537964
masking (zero),0.01,conf_low,Low confidence,8,80,0.043089909727337686,0.03148917306498629,0.022749920910109647
masking (zero),0.01,random,Random,8,80,0.06889199174361338,0.03666744861740956,0.017341595098239675
masking (zero),0.05,high,High conviction,8,80,1.338537044210502,0.3946955082477107,0.14328028562518674
masking (zero),0.05,low,Low conviction,8,80,0.04439991126491425,0.03696477680747423,0.028476048757207103
masking (zero),0.05,deg_high,High degree,8,80,0.7529501116391513,0.28196561378347734,0.10849570595564145
masking (zero),0.05,deg_low,Low degree,8,80,0.1898698723571724,0.09824901445039089,0.037161188464546545
masking (zero),0.05,deg_matched_high,Degree-matched (high),8,80,0.19612172060309674,0.17243910994557932,0.06687907578400355
masking (zero),0.05,deg_matched_low,Degree-matched (low),8,80,0.26196041862896086,0.15126974436187202,0.052630317336660966
masking (zero),0.05,conf_high,High confidence,8,80,0.5541316235475928,0.16049217905416857,0.07316708288505246
masking (zero),0.05,conf_low,Low confidence,8,80,0.17476004068520495,0.11699165942238328,0.05803601462743593
masking (zero),0.05,random,Random,8,80,0.2117543089319191,0.14582482748487421,0.05165906846400444
masking (zero),0.1,high,High conviction,8,80,2.1792886079025555,0.7000957307144473,0.2350638184032336
masking (zero),0.1,low,Low conviction,8,80,0.06924511104869885,0.06781294489959089,0.0409945442645647
masking (zero),0.1,deg_high,High degree,8,80,1.0560699390107142,0.39573595124783245,0.1497976742293112
masking (zero),0.1,deg_low,Low degree,8,80,0.3836975578572921,0.20722728065870405,0.07100165360534577
masking (zero),0.1,deg_matched_high,Degree-matched (high),8,80,0.381389155103263,0.32350731518832226,0.11573629600954856
masking (zero),0.1,deg_matched_low,Degree-matched (low),8,80,0.46742812436132014,0.29688058765893316,0.10093078923393141
masking (zero),0.1,conf_high,High confidence,8,80,0.9187051282874855,0.27592284493513525,0.1057700506025801
masking (zero),0.1,conf_low,Low confidence,8,80,0.34927054504050814,0.21056601345943124,0.09138310095708034
masking (zero),0.1,random,Random,8,80,0.4321390338501155,0.29082272977356405,0.10930148439309721
masking (zero),0.2,high,High conviction,8,80,3.5255728596455835,1.2609818212105188,0.39499581336831996
masking (zero),0.2,low,Low conviction,8,80,0.19859381680726185,0.1434950465098475,0.0679543771186977
masking (zero),0.2,deg_high,High degree,8,80,1.7622999179947656,0.684915863047265,0.24815910343166248
masking (zero),0.2,deg_low,Low degree,8,80,0.8486060393594157,0.4431794457105108,0.1417404155005029
masking (zero),0.2,deg_matched_high,Degree-matched (high),8,80,0.565425561292475,0.5124240727357154,0.1793879878637299
masking (zero),0.2,deg_matched_low,Degree-matched (low),8,80,1.2587689146427194,0.6726292889203139,0.21226392494702873
masking (zero),0.2,conf_high,High confidence,8,80,1.6635487741324895,0.5380757071136323,0.18114813177366484
masking (zero),0.2,conf_low,Low confidence,8,80,0.7963190936971685,0.4268909779793703,0.15012634413381987
masking (zero),0.2,random,Random,8,80,1.0372862804121088,0.5510919383890623,0.1835883638974505
masking (zero),0.3,high,High conviction,8,80,4.549625844013556,1.827087173682478,0.5614791400306735
masking (zero),0.3,low,Low conviction,8,80,0.39264599312420395,0.3195352143000892,0.1393827547491078
masking (zero),0.3,deg_high,High degree,8,80,2.4583868332484595,0.9789100823581609,0.33521299967636503
masking (zero),0.3,deg_low,Low degree,8,80,1.3515332773852977,0.7431440601906179,0.2313958716596966
masking (zero),0.3,deg_matched_high,Degree-matched (high),8,80,0.9338614840658316,0.6171239672792581,0.21721922189154005
masking (zero),0.3,deg_matched_low,Degree-matched (low),8,80,2.190250988839791,1.1283770341851036,0.3472297981740098
masking (zero),0.3,conf_high,High confidence,8,80,2.4954253555633175,0.8910483492672391,0.28422526036363405
masking (zero),0.3,conf_low,Low confidence,8,80,1.321031681869029,0.6874385091547118,0.22697828669746156
masking (zero),0.3,random,Random,8,80,1.6922110821126726,0.8930491280412731,0.29165500778901143
pruning,0.01,high,High conviction,8,80,1.6527892236952209,0.9620503786528094,0.3226057295755798
pruning,0.01,low,Low conviction,8,80,0.00975100295559787,0.014530908263198037,0.010108890860780845
pruning,0.01,deg_high,High degree,8,80,1.3566397102743626,0.7657894027377968,0.2760381572776868
pruning,0.01,deg_low,Low degree,8,80,0.042601712189220015,0.026590450389864826,0.01180544401379567
pruning,0.01,deg_matched_high,Degree-matched (high),8,80,0.20461387091722605,0.05444576420913139,0.032246516797371894
pruning,0.01,deg_matched_low,Degree-matched (low),8,80,0.06625946386126204,0.03971349475743461,0.014153135785411448
pruning,0.01,conf_high,High confidence,8,80,0.3283192326692206,0.127238845055483,0.06865832827692579
pruning,0.01,conf_low,Low confidence,8,80,0.1430252265618372,0.09262208322897625,0.03642712105774102
pruning,0.01,random,Random,8,80,0.10536702904271567,0.03566043355277731,0.02082697075911636
pruning,0.05,high,High conviction,8,80,2.946654140912073,1.0979606894920042,0.37705318146593136
pruning,0.05,low,Low conviction,8,80,0.07047799495770578,0.053941362696434306,0.026276079715624196
pruning,0.05,deg_high,High degree,8,80,2.683640223928824,1.1605892948131196,0.4010038143363207
pruning,0.05,deg_low,Low degree,8,80,0.237810676972334,0.1376222850230497,0.045044312846317845
pruning,0.05,deg_matched_high,Degree-matched (high),8,80,0.5222468599462536,0.214587412958802,0.07793543752758177
pruning,0.05,deg_matched_low,Degree-matched (low),8,80,0.37243716919215997,0.20198566933046117,0.06757762372412895
pruning,0.05,conf_high,High confidence,8,80,0.8687475151644768,0.2165131242950079,0.09920799186215687
pruning,0.05,conf_low,Low confidence,8,80,0.4830572445346943,0.2106542887630964,0.08537314655197638
pruning,0.05,random,Random,8,80,0.42952938455056733,0.19691195534180037,0.0708426606663278
pruning,0.1,high,High conviction,8,80,4.023322132434477,1.1552619554261796,0.40008449090591486
pruning,0.1,low,Low conviction,8,80,0.15784032852213625,0.10746553693672864,0.0449430958018897
pruning,0.1,deg_high,High degree,8,80,3.482525839208963,1.2434229408486994,0.43363581745132707
pruning,0.1,deg_low,Low degree,8,80,0.5445557148699992,0.30177626414350034,0.09500170796662766
pruning,0.1,deg_matched_high,Degree-matched (high),8,80,0.8871299850552634,0.41110461974061574,0.13332644624729373
pruning,0.1,deg_matched_low,Degree-matched (low),8,80,0.6739493156771097,0.41493583285972074,0.12990859810222047
pruning,0.1,conf_high,High confidence,8,80,1.3682085216965598,0.3343237840708851,0.14076478074744705
pruning,0.1,conf_low,Low confidence,8,80,0.9039349034407269,0.36497225198462513,0.14215174361049268
pruning,0.1,random,Random,8,80,0.782366746856066,0.37985770990926393,0.12924558113390414
pruning,0.2,high,High conviction,8,80,5.643209688328286,1.4885861889627452,0.49288677404507847
pruning,0.2,low,Low conviction,8,80,0.42038745295380275,0.2816512564673176,0.1014992078224362
pruning,0.2,deg_high,High degree,8,80,4.821683671502541,1.377441288292284,0.47937273703836764
pruning,0.2,deg_low,Low degree,8,80,1.1346477914703412,0.6712958860852584,0.2068761814184678
pruning,0.2,deg_matched_high,Degree-matched (high),8,80,1.2875062627614722,0.7580924180779015,0.23577767748814413
pruning,0.2,deg_matched_low,Degree-matched (low),8,80,1.721513434136999,0.9620640620801382,0.2968087728441758
pruning,0.2,conf_high,High confidence,8,80,2.4894969607871986,0.6378046306594563,0.22327069815918202
pruning,0.2,conf_low,Low confidence,8,80,1.8975219274570372,0.7496451422254173,0.253937407561461
pruning,0.2,random,Random,8,80,1.685274555072164,0.8300774358626615,0.2646286149095611
pruning,0.3,high,High conviction,8,80,7.079406353171745,2.0430872311835024,0.6501742158141822
pruning,0.3,low,Low conviction,8,80,0.8141769253824402,0.5683379730573237,0.1866735150715929
pruning,0.3,deg_high,High degree,8,80,5.769829002063577,1.5739127475289598,0.5330012864797588
pruning,0.3,deg_low,Low degree,8,80,1.8835114451872879,1.095500697559748,0.3338023473023571
pruning,0.3,deg_matched_high,Degree-matched (high),8,80,1.7252699001734195,1.0856402443128077,0.33835199099074026
pruning,0.3,deg_matched_low,Degree-matched (low),8,80,2.917741856941766,1.5240381230871518,0.46245453655481555
pruning,0.3,conf_high,High confidence,8,80,3.518786339486349,1.0436307595273886,0.34074028003217943
pruning,0.3,conf_low,Low confidence,8,80,2.970505804812669,1.2312780027242853,0.3992988790020488
pruning,0.3,random,Random,8,80,2.7864512652278206,1.2416848796713138,0.38656171770981695
